,day,cash,portfolio,equity,positions,current,date
10,80,29.511646270751953,1047248.0865631104,1047277.5982093811,7,"['ACE.NS-1211-1169', 'VMARCIND.NS-291-276', 'GENUSPOWER.NS-290-296', 'APCOTEXIND.NS-301-298', 'GRSE.NS-1944-1799', 'IOC.NS-127-121', 'CHENNPETRO.NS-610-575']",2025-04-29
11,81,146268.3893623352,886367.1570739746,1032635.5464363098,6,"['ACE.NS-1166-1169', 'VMARCIND.NS-291-276', 'APCOTEXIND.NS-297-298', 'GRSE.NS-1903-1799', 'IOC.NS-129-121', 'CHENNPETRO.NS-603-575']",2025-04-30
12,82,118.67915725708008,1032379.2930908203,1032497.9722480774,7,"['ACE.NS-1165-1169', 'VMARCIND.NS-286-276', 'APCOTEXIND.NS-297-298', 'GRSE.NS-1867-1799', 'IOC.NS-134-125', 'CHENNPETRO.NS-606-575', 'APTUS.NS-312-289']",2025-05-02
13,83,118.67915725708008,1056126.5430908203,1056245.2222480774,7,"['ACE.NS-1193-1169', 'VMARCIND.NS-291-276', 'APCOTEXIND.NS-303-298', 'GRSE.NS-1916-1799', 'IOC.NS-139-129', 'CHENNPETRO.NS-616-575', 'APTUS.NS-317-294']",2025-05-05
14,84,118.67915725708008,1031415.010559082,1031533.6897163391,7,"['ACE.NS-1156-1169', 'VMARCIND.NS-297-276', 'APCOTEXIND.NS-296-298', 'GRSE.NS-1820-1799', 'IOC.NS-135-129', 'CHENNPETRO.NS-598-575', 'APTUS.NS-309-294']",2025-05-06
15,85,118.67915725708008,1047726.5444335938,1047845.2235908508,7,"['ACE.NS-1173-1169', 'VMARCIND.NS-303-281', 'APCOTEXIND.NS-321-298', 'GRSE.NS-1780-1799', 'IOC.NS-135-129', 'CHENNPETRO.NS-605-575', 'APTUS.NS-312-294']",2025-05-07
16,86,118.67915725708008,1044686.7944030762,1044805.4735603333,7,"['ACE.NS-1173-1169', 'VMARCIND.NS-309-287', 'APCOTEXIND.NS-318-298', 'GRSE.NS-1764-1799', 'IOC.NS-132-129', 'CHENNPETRO.NS-596-575', 'APTUS.NS-317-294']",2025-05-08
17,87,118.67915725708008,1038127.2425842285,1038245.9217414856,7,"['ACE.NS-1148-1169', 'VMARCIND.NS-315-293', 'APCOTEXIND.NS-318-298', 'GRSE.NS-1782-1799', 'IOC.NS-131-129', 'CHENNPETRO.NS-582-575', 'APTUS.NS-307-294']",2025-05-09
18,88,118.67915725708008,1064894.2416992188,1065012.9208564758,7,"['ACE.NS-1205-1169', 'VMARCIND.NS-322-298', 'APCOTEXIND.NS-323-300', 'GRSE.NS-1808-1799', 'IOC.NS-133-129', 'CHENNPETRO.NS-609-575', 'APTUS.NS-314-294']",2025-05-12
19,89,118.67915725708008,1076473.4735412598,1076592.1526985168,7,"['ACE.NS-1222-1169', 'VMARCIND.NS-328-304', 'APCOTEXIND.NS-321-300', 'GRSE.NS-1901-1799', 'IOC.NS-132-129', 'CHENNPETRO.NS-611-575', 'APTUS.NS-312-294']",2025-05-13
20,90,118.67915725708008,1103018.1062011719,1103136.785358429,7,"['ACE.NS-1213-1169', 'VMARCIND.NS-323-304', 'APCOTEXIND.NS-326-303', 'GRSE.NS-2172-2010', 'IOC.NS-134-129', 'CHENNPETRO.NS-617-575', 'APTUS.NS-314-294']",2025-05-14
21,91,118.67915725708008,1116486.3388061523,1116605.0179634094,7,"['ACE.NS-1220-1169', 'VMARCIND.NS-317-304', 'APCOTEXIND.NS-332-308', 'GRSE.NS-2243-2075', 'IOC.NS-135-129', 'CHENNPETRO.NS-630-584', 'APTUS.NS-319-296']",2025-05-15
22,92,118.67915725708008,1137645.8279418945,1137764.5070991516,7,"['ACE.NS-1256-1169', 'VMARCIND.NS-310-304', 'APCOTEXIND.NS-330-308', 'GRSE.NS-2464-2280', 'IOC.NS-135-129', 'CHENNPETRO.NS-636-590', 'APTUS.NS-321-298']",2025-05-16
23,93,118.67915725708008,1147048.906463623,1147167.5856208801,7,"['ACE.NS-1275-1180', 'VMARCIND.NS-316-304', 'APCOTEXIND.NS-332-308', 'GRSE.NS-2465-2281', 'IOC.NS-135-129', 'CHENNPETRO.NS-642-595', 'APTUS.NS-324-301']",2025-05-19
24,94,118.67915725708008,1139462.5920410156,1139581.2711982727,7,"['ACE.NS-1240-1180', 'VMARCIND.NS-321-304', 'APCOTEXIND.NS-334-310', 'GRSE.NS-2377-2281', 'IOC.NS-133-129', 'CHENNPETRO.NS-664-615', 'APTUS.NS-322-301']",2025-05-20
25,95,118.67915725708008,1158580.8442077637,1158699.5233650208,7,"['ACE.NS-1264-1180', 'VMARCIND.NS-320-304', 'APCOTEXIND.NS-337-313', 'GRSE.NS-2483-2297', 'IOC.NS-134-129', 'CHENNPETRO.NS-680-630', 'APTUS.NS-325-301']",2025-05-21
26,96,118.67915725708008,1184394.389678955,1184513.0688362122,7,"['ACE.NS-1267-1180', 'VMARCIND.NS-318-304', 'APCOTEXIND.NS-343-318', 'GRSE.NS-2736-2532', 'IOC.NS-134-129', 'CHENNPETRO.NS-673-630', 'APTUS.NS-331-307']",2025-05-22
27,97,118.67915725708008,1187610.8843688965,1187729.5635261536,7,"['ACE.NS-1289-1193', 'VMARCIND.NS-318-304', 'APCOTEXIND.NS-340-318', 'GRSE.NS-2761-2555', 'IOC.NS-135-129', 'CHENNPETRO.NS-670-630', 'APTUS.NS-330-307']",2025-05-23
28,98,118.67915725708008,1198508.7089538574,1198627.3881111145,7,"['ACE.NS-1352-1251', 'VMARCIND.NS-319-304', 'APCOTEXIND.NS-347-322', 'GRSE.NS-2708-2555', 'IOC.NS-134-129', 'CHENNPETRO.NS-676-630', 'APTUS.NS-338-314']",2025-05-26
29,99,118.67915725708008,1195764.4072875977,1195883.0864448547,7,"['ACE.NS-1298-1251', 'VMARCIND.NS-313-304', 'APCOTEXIND.NS-349-323', 'GRSE.NS-2795-2586', 'IOC.NS-134-129', 'CHENNPETRO.NS-673-630', 'APTUS.NS-337-314']",2025-05-27
30,100,118.67915725708008,1204695.3113708496,1204813.9905281067,7,"['ACE.NS-1245-1251', 'VMARCIND.NS-319-304', 'APCOTEXIND.NS-343-323', 'GRSE.NS-2871-2657', 'IOC.NS-135-129', 'CHENNPETRO.NS-708-656', 'APTUS.NS-334-314']",2025-05-28
31,101,118.67915725708008,1230923.9969177246,1231042.6760749817,7,"['ACE.NS-1244-1251', 'VMARCIND.NS-325-304', 'APCOTEXIND.NS-362-336', 'GRSE.NS-3068-2839', 'IOC.NS-134-129', 'CHENNPETRO.NS-710-658', 'APTUS.NS-327-314']",2025-05-29
32,102,118.67915725708008,1215507.0214233398,1215625.700580597,7,"['ACE.NS-1246-1251', 'VMARCIND.NS-332-308', 'APCOTEXIND.NS-355-336', 'GRSE.NS-2982-2839', 'IOC.NS-133-129', 'CHENNPETRO.NS-665-658', 'APTUS.NS-335-314']",2025-05-30
33,103,118.67915725708008,1215103.5448608398,1215222.224018097,7,"['ACE.NS-1259-1251', 'VMARCIND.NS-329-308', 'APCOTEXIND.NS-367-341', 'GRSE.NS-2945-2839', 'IOC.NS-134-129', 'CHENNPETRO.NS-656-658', 'APTUS.NS-331-314']",2025-06-02
34,104,118.67915725708008,1208358.6650390625,1208477.3441963196,7,"['ACE.NS-1250-1251', 'VMARCIND.NS-323-308', 'APCOTEXIND.NS-369-343', 'GRSE.NS-3128-2894', 'IOC.NS-132-129', 'CHENNPETRO.NS-641-658', 'APTUS.NS-302-314']",2025-06-03
35,105,37.82381057739258,1230007.3734436035,1230045.197254181,7,"['ACE.NS-1263-1251', 'VMARCIND.NS-319-308', 'APCOTEXIND.NS-375-348', 'GRSE.NS-3333-3084', 'IOC.NS-131-129', 'BORORENEW.NS-545-505', 'WHEELS.NS-728-675']",2025-06-04
36,106,37.82381057739258,1233872.7986450195,1233910.622455597,7,"['ACE.NS-1249-1251', 'VMARCIND.NS-318-308', 'APCOTEXIND.NS-372-348', 'GRSE.NS-3381-3129', 'IOC.NS-130-129', 'BORORENEW.NS-561-520', 'WHEELS.NS-731-677']",2025-06-05
37,107,37.82381057739258,1219512.62210083,1219550.4459114075,7,"['ACE.NS-1239-1251', 'VMARCIND.NS-319-308', 'APCOTEXIND.NS-364-348', 'GRSE.NS-3229-3129', 'IOC.NS-132-129', 'BORORENEW.NS-569-527', 'WHEELS.NS-729-677']",2025-06-06
38,108,37.82381057739258,1232542.7029418945,1232580.526752472,7,"['ACE.NS-1260-1251', 'VMARCIND.NS-319-308', 'APCOTEXIND.NS-373-348', 'GRSE.NS-3248-3129', 'IOC.NS-134-129', 'BORORENEW.NS-565-527', 'WHEELS.NS-745-690']",2025-06-09
39,109,37.82381057739258,1232529.4524536133,1232567.2762641907,7,"['ACE.NS-1249-1251', 'VMARCIND.NS-313-308', 'APCOTEXIND.NS-378-351', 'GRSE.NS-3212-3129', 'IOC.NS-133-129', 'BORORENEW.NS-588-545', 'WHEELS.NS-750-695']",2025-06-10
40,110,37.82381057739258,1219902.7818603516,1219940.605670929,7,"['ACE.NS-1254-1251', 'VMARCIND.NS-317-308', 'APCOTEXIND.NS-371-351', 'GRSE.NS-3076-3129', 'IOC.NS-136-129', 'BORORENEW.NS-576-545', 'WHEELS.NS-747-695']",2025-06-11
41,111,37.82381057739258,1195069.1676940918,1195106.9915046692,7,"['ACE.NS-1226-1251', 'VMARCIND.NS-311-308', 'APCOTEXIND.NS-376-351', 'GRSE.NS-2957-3129', 'IOC.NS-134-129', 'BORORENEW.NS-563-545', 'WHEELS.NS-729-695']",2025-06-12
42,112,295.2329902648926,1195004.8652954102,1195300.098285675,7,"['VMARCIND.NS-309-308', 'APCOTEXIND.NS-376-351', 'GRSE.NS-3047-3129', 'IOC.NS-131-129', 'BORORENEW.NS-557-545', 'WHEELS.NS-733-695', 'SAILIFE.NS-770-713']",2025-06-13
43,113,328.6947822570801,1183223.295288086,1183551.990070343,7,"['VMARCIND.NS-293-308', 'APCOTEXIND.NS-374-351', 'IOC.NS-133-129', 'BORORENEW.NS-549-545', 'WHEELS.NS-733-695', 'SAILIFE.NS-763-713', 'LODHA.NS-1465-1356']",2025-06-16
44,114,377.5015754699707,1173946.7139892578,1174324.2155647278,7,"['APCOTEXIND.NS-375-351', 'IOC.NS-132-129', 'BORORENEW.NS-539-545', 'WHEELS.NS-738-695', 'SAILIFE.NS-750-713', 'LODHA.NS-1441-1356', 'NUVAMA.NS-1451-1343']",2025-06-17
45,115,412.25908279418945,1167897.9592895508,1168310.218372345,7,"['APCOTEXIND.NS-379-352', 'IOC.NS-132-129', 'WHEELS.NS-736-695', 'SAILIFE.NS-738-713', 'LODHA.NS-1438-1356', 'NUVAMA.NS-1427-1343', 'MANYAVAR.NS-802-742']",2025-06-18
46,116,412.25908279418945,1148765.3227844238,1149177.581867218,7,"['APCOTEXIND.NS-377-352', 'IOC.NS-130-129', 'WHEELS.NS-727-695', 'SAILIFE.NS-728-713', 'LODHA.NS-1420-1356', 'NUVAMA.NS-1367-1343', 'MANYAVAR.NS-790-742']",2025-06-19
47,117,412.25908279418945,1169420.1241760254,1169832.3832588196,7,"['APCOTEXIND.NS-381-353', 'IOC.NS-130-129', 'WHEELS.NS-743-695', 'SAILIFE.NS-765-713', 'LODHA.NS-1478-1368', 'NUVAMA.NS-1350-1343', 'MANYAVAR.NS-792-742']",2025-06-20
48,118,412.25908279418945,1167966.7184753418,1168378.977558136,7,"['APCOTEXIND.NS-379-353', 'IOC.NS-131-129', 'WHEELS.NS-733-695', 'SAILIFE.NS-754-713', 'LODHA.NS-1468-1368', 'NUVAMA.NS-1385-1343', 'MANYAVAR.NS-791-742']",2025-06-23
49,119,412.25908279418945,1172244.6755981445,1172656.9346809387,7,"['APCOTEXIND.NS-381-354', 'IOC.NS-133-129', 'WHEELS.NS-736-695', 'SAILIFE.NS-746-713', 'LODHA.NS-1465-1368', 'NUVAMA.NS-1403-1343', 'MANYAVAR.NS-787-742']",2025-06-24
50,120,412.25908279418945,1183997.1399230957,1184409.39900589,7,"['APCOTEXIND.NS-383-356', 'IOC.NS-133-129', 'WHEELS.NS-753-698', 'SAILIFE.NS-759-713', 'LODHA.NS-1451-1368', 'NUVAMA.NS-1472-1363', 'MANYAVAR.NS-791-742']",2025-06-25
51,121,412.25908279418945,1195800.5289611816,1196212.7880439758,7,"['APCOTEXIND.NS-386-358', 'IOC.NS-137-129', 'WHEELS.NS-760-704', 'SAILIFE.NS-748-713', 'LODHA.NS-1436-1368', 'NUVAMA.NS-1550-1435', 'MANYAVAR.NS-793-742']",2025-06-26
52,122,412.25908279418945,1207973.8497009277,1208386.108783722,7,"['APCOTEXIND.NS-386-358', 'IOC.NS-138-129', 'WHEELS.NS-774-717', 'SAILIFE.NS-764-713', 'LODHA.NS-1417-1368', 'NUVAMA.NS-1626-1505', 'MANYAVAR.NS-795-742']",2025-06-27
53,123,412.25908279418945,1209352.8406677246,1209765.0997505188,7,"['APCOTEXIND.NS-392-364', 'IOC.NS-137-129', 'WHEELS.NS-796-738', 'SAILIFE.NS-773-716', 'LODHA.NS-1379-1368', 'NUVAMA.NS-1615-1505', 'MANYAVAR.NS-802-743']",2025-06-30
54,124,412.25908279418945,1213376.9099121094,1213789.1689949036,7,"['APCOTEXIND.NS-389-364', 'IOC.NS-138-129', 'WHEELS.NS-803-744', 'SAILIFE.NS-779-722', 'LODHA.NS-1386-1368', 'NUVAMA.NS-1621-1505', 'MANYAVAR.NS-805-746']",2025-07-01
55,125,412.25908279418945,1208685.0596923828,1209097.318775177,7,"['APCOTEXIND.NS-388-364', 'IOC.NS-138-129', 'WHEELS.NS-795-744', 'SAILIFE.NS-789-730', 'LODHA.NS-1394-1368', 'NUVAMA.NS-1583-1505', 'MANYAVAR.NS-795-746']",2025-07-02
56,126,412.25908279418945,1203952.1192016602,1204364.3782844543,7,"['APCOTEXIND.NS-389-364', 'IOC.NS-138-129', 'WHEELS.NS-787-744', 'SAILIFE.NS-789-731', 'LODHA.NS-1364-1368', 'NUVAMA.NS-1604-1505', 'MANYAVAR.NS-792-746']",2025-07-03
57,127,412.25908279418945,1197299.2938232422,1197711.5529060364,7,"['APCOTEXIND.NS-392-364', 'IOC.NS-142-132', 'WHEELS.NS-804-745', 'SAILIFE.NS-792-734', 'LODHA.NS-1363-1368', 'NUVAMA.NS-1424-1505', 'MANYAVAR.NS-818-758']",2025-07-04
58,128,65.46904373168945,1200691.6048583984,1200757.0739021301,7,"['APCOTEXIND.NS-392-364', 'IOC.NS-144-134', 'WHEELS.NS-783-745', 'SAILIFE.NS-793-735', 'LODHA.NS-1372-1368', 'MANYAVAR.NS-805-758', 'PNGJL.NS-609-565']",2025-07-07
59,129,65.46904373168945,1197164.344329834,1197229.8133735657,7,"['APCOTEXIND.NS-394-365', 'IOC.NS-144-134', 'WHEELS.NS-783-745', 'SAILIFE.NS-786-735', 'LODHA.NS-1370-1368', 'MANYAVAR.NS-800-758', 'PNGJL.NS-603-565']",2025-07-08
60,130,65.46904373168945,1191047.9974060059,1191113.4664497375,7,"['APCOTEXIND.NS-393-365', 'IOC.NS-140-134', 'WHEELS.NS-784-745', 'SAILIFE.NS-781-735', 'LODHA.NS-1385-1368', 'MANYAVAR.NS-795-758', 'PNGJL.NS-592-565']",2025-07-09
61,131,65.46904373168945,1195628.9710083008,1195694.4400520325,7,"['APCOTEXIND.NS-390-365', 'IOC.NS-142-134', 'WHEELS.NS-777-745', 'SAILIFE.NS-783-735', 'LODHA.NS-1407-1368', 'MANYAVAR.NS-797-758', 'PNGJL.NS-593-565']",2025-07-10
62,132,65.46904373168945,1191132.8248291016,1191198.2938728333,7,"['APCOTEXIND.NS-393-365', 'IOC.NS-141-134', 'WHEELS.NS-786-745', 'SAILIFE.NS-782-735', 'LODHA.NS-1395-1368', 'MANYAVAR.NS-787-758', 'PNGJL.NS-587-565']",2025-07-11
63,133,65.46904373168945,1202982.2935791016,1203047.7626228333,7,"['APCOTEXIND.NS-396-368', 'IOC.NS-140-134', 'WHEELS.NS-784-745', 'SAILIFE.NS-823-762', 'LODHA.NS-1415-1368', 'MANYAVAR.NS-782-758', 'PNGJL.NS-592-565']",2025-07-14
64,134,65.46904373168945,1210106.953125,1210172.4221687317,7,"['APCOTEXIND.NS-399-370', 'IOC.NS-141-134', 'WHEELS.NS-788-745', 'SAILIFE.NS-811-762', 'LODHA.NS-1429-1368', 'MANYAVAR.NS-789-758', 'PNGJL.NS-600-565']",2025-07-15
65,135,65.46904373168945,1210156.9114074707,1210222.3804512024,7,"['APCOTEXIND.NS-392-370', 'IOC.NS-142-134', 'WHEELS.NS-798-745', 'SAILIFE.NS-812-762', 'LODHA.NS-1435-1368', 'MANYAVAR.NS-783-758', 'PNGJL.NS-600-565']",2025-07-16
66,136,65.46904373168945,1219230.5801086426,1219296.0491523743,7,"['APCOTEXIND.NS-386-370', 'IOC.NS-141-134', 'WHEELS.NS-798-745', 'SAILIFE.NS-823-762', 'LODHA.NS-1435-1368', 'MANYAVAR.NS-801-758', 'PNGJL.NS-627-581']",2025-07-17
67,137,65.46904373168945,1212267.305480957,1212332.7745246887,7,"['APCOTEXIND.NS-386-370', 'IOC.NS-140-134', 'WHEELS.NS-804-745', 'SAILIFE.NS-815-762', 'LODHA.NS-1440-1368', 'MANYAVAR.NS-790-758', 'PNGJL.NS-611-581']",2025-07-18
68,138,65.46904373168945,1212021.3876953125,1212086.8567390442,7,"['APCOTEXIND.NS-387-370', 'IOC.NS-141-134', 'WHEELS.NS-816-756', 'SAILIFE.NS-806-762', 'LODHA.NS-1443-1368', 'MANYAVAR.NS-785-758', 'PNGJL.NS-603-581']",2025-07-21
69,139,65.46904373168945,1212307.9288635254,1212373.397907257,7,"['APCOTEXIND.NS-387-370', 'IOC.NS-142-134', 'WHEELS.NS-819-758', 'SAILIFE.NS-807-762', 'LODHA.NS-1437-1368', 'MANYAVAR.NS-786-758', 'PNGJL.NS-602-581']",2025-07-22
70,140,65.46904373168945,1191613.1662597656,1191678.6353034973,7,"['APCOTEXIND.NS-389-370', 'IOC.NS-142-134', 'WHEELS.NS-815-758', 'SAILIFE.NS-815-762', 'LODHA.NS-1329-1368', 'MANYAVAR.NS-776-758', 'PNGJL.NS-597-581']",2025-07-23
71,141,1321.4451179504395,1190262.6421813965,1191584.087299347,7,"['APCOTEXIND.NS-392-370', 'IOC.NS-141-134', 'WHEELS.NS-805-758', 'SAILIFE.NS-825-764', 'MANYAVAR.NS-785-758', 'PNGJL.NS-596-581', 'EPIGRAL.NS-1842-1705']",2025-07-24
72,142,1321.4451179504395,1177190.8627929688,1178512.3079109192,7,"['APCOTEXIND.NS-388-370', 'IOC.NS-137-134', 'WHEELS.NS-787-758', 'SAILIFE.NS-838-776', 'MANYAVAR.NS-779-758', 'PNGJL.NS-581-581', 'EPIGRAL.NS-1839-1705']",2025-07-25
73,143,1321.4451179504395,1161195.6868286133,1162517.1319465637,7,"['APCOTEXIND.NS-389-370', 'IOC.NS-138-134', 'WHEELS.NS-756-758', 'SAILIFE.NS-824-776', 'MANYAVAR.NS-752-758', 'PNGJL.NS-583-581', 'EPIGRAL.NS-1809-1705']",2025-07-28
74,144,1321.4451179504395,1191500.5012817383,1192821.9463996887,7,"['APCOTEXIND.NS-411-381', 'IOC.NS-138-134', 'WHEELS.NS-763-758', 'SAILIFE.NS-831-776', 'MANYAVAR.NS-746-758', 'PNGJL.NS-586-581', 'EPIGRAL.NS-1944-1799']",2025-07-29
75,145,1321.4451179504395,1223275.7393188477,1224597.184436798,7,"['APCOTEXIND.NS-420-389', 'IOC.NS-139-134', 'WHEELS.NS-763-758', 'SAILIFE.NS-846-783', 'MANYAVAR.NS-780-758', 'PNGJL.NS-587-581', 'EPIGRAL.NS-2079-1924']",2025-07-30
76,146,1321.4451179504395,1194291.164276123,1195612.6093940735,7,"['APCOTEXIND.NS-420-389', 'IOC.NS-136-134', 'WHEELS.NS-755-758', 'SAILIFE.NS-808-783', 'MANYAVAR.NS-741-758', 'PNGJL.NS-584-581', 'EPIGRAL.NS-2010-1924']",2025-07-31
77,147,240.4544563293457,1171512.473602295,1171752.9280586243,7,"['APCOTEXIND.NS-416-389', 'IOC.NS-132-134', 'WHEELS.NS-741-758', 'SAILIFE.NS-788-783', 'PNGJL.NS-578-581', 'EPIGRAL.NS-1947-1924', 'CARRARO.NS-478-443']",2025-08-01
78,148,19.311573028564453,1164105.9519042969,1164125.2634773254,7,"['APCOTEXIND.NS-418-389', 'IOC.NS-133-134', 'SAILIFE.NS-805-783', 'PNGJL.NS-573-581', 'EPIGRAL.NS-1821-1924', 'CARRARO.NS-495-459', 'NMDC.NS-68-64']",2025-08-04
79,149,157075.41496658325,1006703.0579223633,1163778.4728889465,6,"['APCOTEXIND.NS-414-389', 'IOC.NS-132-134', 'SAILIFE.NS-794-783', 'EPIGRAL.NS-1910-1924', 'CARRARO.NS-476-459', 'NMDC.NS-68-64']",2025-08-05
